"cnty_fips","cnty_id","cnty_name","cnty_abbr","Total Number","Lower 95% Limit","Upper 95% Limit","Age Adj. Rate per 10000"
"06000","00","CALIFORNIA","","35727","9.78","9.98","9.88"
"06001","01","Alameda","AL","2347","15.43","16.74","16.07"
"06003","02","Alpine","AP","null","null","null","null"
"06005","03","Amador","AM","18","3.07","8.84","5.45"
"06007","04","Butte","BU","223","9.30","12.23","10.69"
"06009","05","Calaveras","CA","33","4.62","10.51","7.14"
"06011","06","Colusa","CO","null","null","null","null"
"06013","07","Contra Costa","CC","1101","10.22","11.52","10.85"
"06015","08","Del Norte","DN","25","5.65","13.06","8.80"
"06017","09","El Dorado","ED","110","5.45","8.15","6.71"
"06019","10","Fresno","FR","912","9.56","10.92","10.23"
"06021","11","Glenn","GL","22","4.88","11.89","7.83"
"06023","12","Humboldt","HU","118","7.87","11.45","9.54"
"06025","13","Imperial","IM","311","17.43","21.90","19.57"
"06027","14","Inyo","IN","null","null","null","null"
"06029","15","Kern","KN","695","8.98","10.47","9.70"
"06031","16","Kings","KG","132","8.15","11.73","9.82"
"06033","17","Lake","LK","64","7.72","13.24","10.22"
"06035","18","Lassen","LS","20","3.60","9.32","5.97"
"06037","19","Los Angeles","LA","11867","11.80","12.24","12.02"
"06039","20","Madera","MA","147","8.74","12.20","10.36"
"06041","21","Marin","MR","139","4.58","6.50","5.48"
"06043","22","Mariposa","MP","null","null","null","null"
"06045","23","Mendocino","MD","65","5.10","8.56","6.67"
"06047","24","Merced","ME","299","12.31","15.58","13.87"
"06049","25","Modoc","MO","null","null","null","null"
"06051","26","Mono","MN","12","4.94","16.97","9.66"
"06053","27","Monterey","MT","320","6.76","8.46","7.57"
"06055","28","Napa","NA","90","4.96","7.64","6.19"
"06057","29","Nevada","NE","82","5.64","9.13","7.23"
"06059","30","Orange","OR","2082","6.81","7.42","7.11"
"06061","31","Placer","PL","137","3.59","5.09","4.29"
"06063","32","Plumas","PM","15","3.23","10.47","6.08"
"06065","33","Riverside","RI","1751","8.92","9.80","9.35"
"06067","34","Sacramento","SA","1244","8.62","9.65","9.12"
"06069","35","San Benito","ST","33","4.41","9.13","6.46"
"06071","36","San Bernardino","SR","2509","12.92","14.01","13.46"
"06073","37","San Diego","SD","2096","6.72","7.32","7.02"
"06075","38","San Francisco","SF","714","8.83","10.33","9.56"
"06077","39","San Joaquin","SJ","802","11.67","13.45","12.53"
"06079","40","San Luis Obispo","SL","136","4.53","6.46","5.43"
"06081","41","San Mateo","SM","590","7.35","8.67","7.99"
"06083","42","Santa Barbara","SB","216","4.44","5.83","5.10"
"06085","43","Santa Clara","SC","1314","7.18","8.02","7.59"
"06087","44","Santa Cruz","SZ","164","5.89","8.10","6.93"
"06089","45","Shasta","SH","178","8.33","11.34","9.75"
"06091","46","Sierra","SI","null","null","null","null"
"06093","47","Siskiyou","SK","30","3.93","8.80","6.01"
"06095","48","Solano","SO","362","8.04","9.93","8.95"
"06097","49","Sonoma","SN","312","5.83","7.33","6.55"
"06099","50","Stanislaus","SS","471","8.64","10.40","9.49"
"06101","51","Sutter","SU","101","8.86","13.27","10.90"
"06103","52","Tehama","TE","62","7.84","13.21","10.27"
"06105","53","Trinity","TR","null","null","null","null"
"06107","54","Tulare","TU","449","10.80","13.08","11.90"
"06109","55","Tuolumne","TO","29","3.18","7.24","4.91"
"06111","56","Ventura","VE","569","6.62","7.83","7.21"
"06113","57","Yolo","YO","83","4.14","6.46","5.21"
"06115","58","Yuba","YU","77","8.94","14.26","11.37"
